,charge transfer/e-
1330,-0.078711
1331,-0.172889
1332,0.03024
1333,-0.092136
1334,-0.054426
1335,-0.065727
1336,-0.09489
1337,-0.052487
1338,-0.032488
1339,0.176316
1340,-0.110661
1341,0.061927
1342,0.013595
1343,0.022221
1344,0.027597
1345,-0.110023
1346,0.034268
1347,-0.058775
1348,0.038593
1349,-0.032105
1350,0.170026
1351,-0.138724
1352,0.060959
1353,0.003208
1354,-0.04582
1355,-0.040521
1356,0.159185
1357,-0.090379
1358,0.002793
1359,-0.120344
1360,-0.116398
1361,-0.039361
1362,0.009993
1363,-0.13508
1364,-0.042762
1365,0.054712
1366,0.140402
1367,-0.14075
1368,0.067718
1369,0.055905
1370,0.051209
1371,0.05273
1372,0.018472
1373,-0.072178
1374,0.071121
1375,0.055927
1376,-0.134118
1377,-0.17777
1378,-0.065464
1379,0.050276
1380,-0.11107
1381,-0.031819
1382,0.126569
1383,-0.117385
1384,-0.019498
1385,0.071557
1386,-0.080636
1387,-0.013337
1388,0.026192
1389,0.068455
1390,-0.006511
1391,0.010632
1392,-0.144953
1393,0.054283
1394,-0.111912
1395,0.053299
1396,-0.11305
1397,0.066464
1398,0.047184
1399,0.023231
1400,0.079087
1401,0.052881
1402,0.060175
1403,-0.058845
1404,-0.035059
1405,0.16599
1406,0.070398
1407,-0.074002
1408,0.032933
1409,0.047667
1410,0.066742
1411,-0.138818
1412,0.061982
1413,-0.014346
1414,-0.041937
1415,-0.108343
1416,0.135487
1417,0.013405
1418,0.059892
1419,0.089155
1420,-0.032681
1421,0.03393
1422,0.055181
1423,0.078662
1424,0.068281
1425,-0.031108
1426,0.062057
1427,0.068255
1428,0.038225
1429,-0.017413
1430,-0.017163
1431,-0.0492
1432,0.074571
1433,-0.08734
1434,0.073564
1435,0.051954
1436,0.051796
1437,0.069962
1438,-0.134352
1439,0.032758
1440,-0.125575
1441,0.088036
1442,0.014768
1443,-0.072034
1444,-0.075517
1445,-0.031751
1446,0.032661
1447,-0.063637
1448,-0.089545
1449,-0.13733
1450,0.035518
1451,0.023839
1452,0.051752
1453,0.157318
1454,0.031224
1455,-0.169091
1456,-0.089519
1457,0.029193
1458,0.146564
1459,-0.115956
1460,0.142376
1461,0.045638
1462,0.004982
1463,0.00867
1464,-0.106204
1465,0.068328
1466,0.071127
1467,0.087726
1468,-0.0981
1469,0.168622
1470,-0.021194
1471,0.127875
1472,-0.008483
1473,0.052445
1474,-0.022783
1475,-0.042803
1476,-0.078335
1477,-0.076365
1478,-0.053108
1479,0.069074
1480,-0.016827
1481,0.052545
1482,-0.170885
1483,-0.013551
1484,-0.113864
1485,-0.091943
1486,-0.096345
1487,0.012893
1488,-0.086612
1489,0.057813
1490,-0.073575
1491,-0.087962
1492,-0.052564
1493,0.03461
1494,0.144037
1495,0.062462
1496,-0.081119
1497,-0.1439
1498,0.031156
1499,-0.069432
1500,0.072053
1501,0.064467
1502,-0.020797
1503,0.097286
1504,0.040177
1505,0.061058
1506,-0.173684
1507,0.060756
1508,0.183759
1509,0.032852
1510,-0.062374
1511,0.095235
1512,-0.080916
1513,-0.033904
1514,-0.088458
1515,-0.068011
1516,-0.05308
1517,-0.161954
1518,-0.045882
1519,-0.143812
1520,-0.057007
1521,-0.107668
1522,-0.11773
1523,0.054747
1524,0.068483
1525,0.094817
1526,-0.10222
1527,-0.064733
1528,-0.099715
1529,0.164352
1530,-0.026218
1531,0.073401
1532,0.022274
1533,-0.112395
1534,0.079355
1535,0.163445
1536,-0.006881
1537,-0.012376
1538,-0.09886
1539,-0.137464
1540,-0.044417
1541,0.048982
1542,0.152734
1543,0.09394
1544,0.166889
1545,-0.025805
1546,-0.078229
1547,0.076316
1548,-0.03908
1549,0.063818
1550,0.053861
1551,0.048549
1552,-0.089193
1553,0.031741
1554,-0.042832
1555,-0.005266
1556,-0.105384
1557,0.036227
1558,-0.05568
1559,-0.172871
1560,-0.080981
1561,0.174411
1562,0.092527
1563,0.035472
1564,-0.120871
1565,-0.056141
1566,-0.077124
1567,0.024033
1568,-0.059215
1569,0.076059
1570,0.08497
1571,0.088417
1572,0.15784
1573,0.067312
1574,0.135298
1575,-0.035174
1576,0.03359
1577,0.037106
1578,0.016249
1579,-0.028155
1580,0.065491
1581,-0.103002
1582,-0.139107
1583,0.01806
1584,0.053109
1585,-0.169518
1586,0.065058
1587,9.90E-05
1588,0.060291
1589,0.069466
1590,0.011471
1591,-0.055727
1592,-0.11403
1593,0.032678
1594,0.053846
1595,-0.112036
1596,-0.027898
1597,0.080341
1598,-0.105401
1599,0.057485
1600,0.052253
1601,0.132943
1602,0.01996
1603,0.053009
1604,0.167131
1605,-0.019683
1606,-0.029972
1607,0.053581
1608,0.169925
1609,0.07062
1610,0.049496
1611,0.065003
1612,0.058119
1613,0.09063
1614,-0.123896
1615,-0.009766
1616,0.032201
1617,-0.114276
1618,-0.015124
1619,0.152848
1620,-0.097092
1621,0.149966
1622,0.072801
1623,0.156249
1624,0.082492
1625,-0.074788
1626,-0.112586
1627,0.027821
1628,-0.134046
1629,-0.06416
1630,-0.134323
1631,0.065538
1632,-0.069248
1633,0.16323
1634,-0.156912
1635,-0.072212
1636,-0.127809
1637,0.144697
1638,0.074614
1639,-0.112928
1640,-0.088345
1641,0.067405
1642,0.0332
1643,-0.018081
1644,0.007983
1645,0.073173
1646,0.012228
1647,0.079995
1648,-0.054995
1649,-0.100279
1650,0.16669
1651,0.046654
1652,0.006475
1653,-0.127668
1654,-0.105169
1655,0.058712
1656,0.020384
1657,-0.098943
1658,-0.093049
1659,0.072272
1660,0.038552
1661,0.019056
1662,-0.182583
1663,-0.12585
1664,-0.076384
1665,0.164555
1666,0.079772
1667,-0.096856
1668,-0.111678
1669,-0.084009
1670,-0.065601
1671,0.047668
1672,0.080503
1673,0.075602
1674,0.032533
1675,0.174014
1676,0.069627
1677,-0.020823
1678,0.136488
1679,0.15454
1680,0.082874
1681,0.065838
1682,0.046738
1683,-0.148071
1684,-0.128343
1685,-0.021189
1686,0.0103
1687,-0.127114
1688,-0.059264
1689,0.065078
1690,-0.062638
1691,0.063639
1692,0.006755
1693,0.166875
1694,-0.104335
1695,0.017684
1696,-0.002812
1697,-0.116358
1698,0.031242
1699,0.034542
1700,-0.121687
1701,-0.165894
1702,0.138375
1703,0.015209
1704,-0.118257
1705,-0.007987
1706,-0.069852
1707,0.057232
1708,-0.088018
1709,-0.08239
1710,0.056389
1711,0.14955
1712,-0.127903
1713,0.040226
1714,-0.122698
1715,0.045692
1716,0.017701
1717,-0.093701
