mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
372.1233,3.5028,505.7418,27.4317,574.4271,13.48,1678.0879,270.1618
412.6045,1.9254,456.6421,11.1482,573.1539,3.3943,1812.3457,318.03
310.9359,4.4573,447.7878,11.4084,530.5739,20.5338,1784.4815,263.8683
373.5773,2.9716,451.3299,1.6928,561.0362,4.2636,1746.064,293.61
294.5172,31.8868,314.921,44.2905,444.1527,2.668,2028.9603,437.6045
272.7685,62.1272,460.7336,1.365,505.9276,5.3212,2027.9601,579.462
357.0755,0.8871,463.2465,4.7628,600.1106,11.6163,1782.4783,303.5248
333.7228,2.4167,478.5956,13.0838,544.7305,36.4266,1734.7368,237.5441
230.9609,7.0946,248.7692,29.6736,398.0338,5.2367,2096.4533,383.7829
355.5919,0.1706,485.6593,12.7464,544.6688,10.8668,1683.3057,237.9683
282.7229,2.1389,346.4527,4.1121,513.8921,9.7014,1925.3136,342.9324
358.9951,1.8943,426.9561,1.2891,530.9568,5.7749,1748.839,268.6392
374.3124,25.5094,439.8168,20.7088,487.683,4.0975,2024.6421,576.2989
384.1756,3.9492,437.3194,2.1726,551.705,1.62,1804.1469,270.2789
357.7836,49.8422,385.0756,19.3859,435.8168,4.5529,2034.2279,529.8622
404.579,19.781,445.9677,11.4454,485.8475,9.9265,2024.6144,551.9021
344.0107,0.0752,511.1716,52.1547,545.1876,10.6421,1722.3489,239.4063
347.8039,7.3626,416.7379,16.5393,521.7256,0.8201,1872.6083,308.9139
195.756,8.6058,226.8826,9.0735,347.8587,0.8591,2093.6186,453.4465
335.4894,2.8959,426.1664,6.4139,517.4093,0.5323,1838.2528,320.172
341.5485,12.384,345.1485,83.4789,514.8285,2.0642,2042.4174,524.5007
365.6919,1.7359,446.0936,4.2153,562.089,3.5221,1647.4765,265.8394
307.8195,39.7665,315.9245,55.5539,505.8981,1.1468,2043.5499,551.1727
301.8255,3.1231,412.5093,21.5317,504.7826,8.4616,1828.7113,290.19
360.0359,2.1597,482.5278,10.3192,507.5307,40.1894,1645.802,245.8897
341.7697,20.897,354.8597,126.6194,497.3862,7.2361,2023.8162,507.0221
387.9985,9.9178,406.6992,3.4363,484.4173,4.9883,2028.5863,479.207
117.9089,5.9221,252.33,14.8425,346.7829,0.0468,2113.1265,341.1094
333.2106,5.6171,405.8689,0.8997,523.4695,0.7987,1906.5542,336.8266
325.408,6.7189,375.163,0.8845,465.1557,10.3307,1923.497,348.9644
380.2389,18.7868,398.2224,6.4632,541.7828,5.7607,1846.5816,314.081
320.1258,3.6487,424.9057,10.2439,541.1811,3.6821,1796.5117,263.4492
337.2156,1.3014,454.464,6.4529,582.1133,13.8038,1744.3098,223.839
260.6391,2.5085,437.5422,1.8292,468.4369,2.5797,1880.5956,369.3714
291.4255,21.0376,421.5468,4.4838,469.5253,19.8763,2015.0867,612.0125
379.1161,1.2417,470.1655,2.6639,538.0818,2.7836,1750.4797,265.4289
382.4073,1.8797,463.4821,14.2515,542.6249,9.6304,1772.0537,261.6921
351.6307,2.1131,452.3919,4.2195,589.7508,0.2755,1751.2069,280.8878
197.3385,8.7687,255.315,13.2537,405.5552,1.115,2083.6467,367.4525
342.0792,6.4743,436.9897,51.5883,507.8264,12.0784,1717.8472,296.9252
320.3439,21.5135,350.2457,22.4332,439.9804,3.2294,2020.4232,429.7977
321.1667,1.0952,457.7369,3.7035,537.2685,4.7737,1777.7228,268.203
360.4649,1.887,430.3431,5.7668,577.2414,8.0682,1775.835,284.6918
308.9218,8.8685,328.7279,37.5766,415.5683,23.841,2025.1825,440.4248
