,Gibbs free energy/eV
1304,-2.15899
1305,-2.74486
1306,-2.26899
1307,-2.19674
1308,-2.42429
1309,-2.39684
1310,-2.30544
1311,-2.45036
1312,-2.48776
1313,-1.41697
1314,-2.64402
1315,-2.19513
1316,-2.69208
1317,-2.36818
1318,-0.954717
1319,-2.12669
1320,-1.34435
1321,-2.56209
1322,-2.68529
1323,-2.26728
1324,-2.38315
1325,-1.78575
1326,-1.45819
1327,-2.59418
1328,-2.78528
1329,-1.44261
1330,-2.59194
1331,-2.60488
1332,-2.24681
1333,-2.99856
1334,-2.68496
1335,-2.64268
1336,-2.68138
1337,-2.24123
1338,-2.27342
1339,-1.18514
1340,-2.74587
1341,-2.58096
1342,-2.19856
1343,-2.34983
1344,-2.26055
1345,-2.99157
1346,-2.0806
1347,-2.34383
1348,-2.31178
1349,-2.33244
1350,-1.02394
1351,-2.8685
1352,-2.5797
1353,-1.7195
1354,-2.24808
1355,-2.45611
1356,-1.38377
1357,-2.61555
1358,-1.83199
1359,-2.63342
1360,-2.39514
1361,-1.72756
1362,-2.1068
1363,-2.8118
1364,-2.29896
1365,-2.60577
1366,-0.617416
1367,-3.09314
1368,-2.29139
1369,-1.2652
1370,-2.0327
1371,-2.07372
1372,-2.2381
1373,-2.43397
1374,-2.52583
1375,-2.03805
1376,-2.73482
1377,-3.11612
1378,-2.79598
1379,-1.34346
1380,-2.78844
1381,-2.13168
1382,-0.692628
1383,-2.57859
1384,-1.75984
1385,-2.48212
1386,-2.80821
1387,-2.21269
1388,-2.2179
1389,-2.48166
1390,-1.63089
1391,-2.23822
1392,-2.63514
1393,-2.02143
1394,-2.7375
1395,-2.54682
1396,-2.77272
1397,-2.47385
1398,-2.9373
1399,-2.39151
1400,-2.167
1401,-2.26563
1402,-2.62677
1403,-2.18691
1404,-2.19015
1405,-1.13301
1406,-2.39684
1407,-3.04917
1408,-2.2033
1409,-2.38975
1410,-1.8395
1411,-2.67797
1412,-2.46382
1413,-1.73263
1414,-2.25472
1415,-2.49743
1416,-0.7429
1417,-2.40573
1418,-2.22175
1419,-2.3765
1420,-2.42136
1421,-2.11368
1422,-2.93276
1423,-2.43709
1424,-2.59322
1425,-2.26141
1426,-2.56294
1427,-2.44769
1428,-2.29675
1429,-2.33679
1430,-1.73597
1431,-1.94499
1432,-2.53897
1433,-2.61867
1434,-2.23903
1435,-2.38476
1436,-2.59539
1437,-2.53799
1438,-2.88764
1439,-2.31741
1440,-2.66003
1441,-2.37339
1442,-2.1042
1443,-2.86798
1444,-2.3205
1445,-2.60853
1446,-1.10103
1447,-2.49012
1448,-2.84374
1449,-2.79759
